organization_location,part_number,material_name,shipment_from_location,lead_time_days,supplying_quantity,unit_price,required_quantity,quantity_fill_rate,is_full_quantity,total_price,was_selected
Pune,PN-1901,Steel Plate,Mumbai,18,166,67.32,666,0.25,0,44837.64,1
Mumbai,PN-2175,Aluminum Sheet,Delhi,30,235,26.81,907,0.26,0,24316.71,1
Mumbai,PN-4702,Fasteners,London,27,269,4.95,375,0.72,0,1855.3,1
Bangalore,PN-1636,Electronic Components,Mumbai,9,167,92.85,275,0.61,0,25533.63,1
Mumbai,PN-2712,Electronic Components,Delhi,29,998,82.09,998,1.0,1,81923.68,1
Pune,PN-2386,Steel Plate,Pune,8,263,53.91,263,1.0,1,14177.4,1
Mumbai,PN-1737,Fasteners,Mumbai,12,789,5.7,925,0.85,0,5271.15,1
Pune,PN-2442,Plastic Resins,Berlin,41,435,14.36,870,0.5,0,12490.66,1
Delhi,PN-1304,Fasteners,Bangalore,23,100,6.88,102,0.98,0,701.47,1
Delhi,PN-1986,Copper Wire,New York,33,137,20.56,137,1.0,1,2817.16,1
Chennai,PN-3899,Steel Plate,New York,34,543,55.47,543,1.0,1,30121.73,1
Chennai,PN-4032,Aluminum Sheet,Delhi,22,161,41.9,300,0.54,0,12569.95,1
Delhi,PN-7498,Plastic Resins,Berlin,39,100,15.97,840,0.12,0,13413.71,1
Mumbai,PN-1814,Steel Plate,Bangalore,8,199,68.16,245,0.81,0,16699.26,1
Mumbai,PN-6034,Plastic Resins,Chennai,30,509,11.11,742,0.69,0,8244.75,1
Mumbai,PN-7436,Electronic Components,Mumbai,9,428,135.46,829,0.52,0,112292.65,1
Bangalore,PN-8284,Steel Plate,Mumbai,20,415,43.11,415,1.0,1,17891.37,1
Bangalore,PN-9316,Steel Plate,Mumbai,26,352,44.59,352,1.0,1,15694.64,1
Pune,PN-1727,Electronic Components,Bangalore,17,523,87.91,895,0.58,0,78675.95,1
Pune,PN-7625,Aluminum Sheet,Mumbai,27,642,33.69,642,1.0,1,21628.94,1
Delhi,PN-4975,Electronic Components,Pune,8,189,118.08,335,0.56,0,39556.1,1
Bangalore,PN-8678,Copper Wire,Pune,13,991,17.82,991,1.0,1,17664.27,1
Chennai,PN-9429,Aluminum Sheet,New York,24,291,32.52,470,0.62,0,15285.78,1
Chennai,PN-2171,Copper Wire,Delhi,19,510,18.69,968,0.53,0,18090.95,1
Chennai,PN-7534,Steel Plate,London,37,466,59.06,466,1.0,1,27524.1,1
Chennai,PN-8265,Steel Plate,Chennai,24,963,65.44,963,1.0,1,63015.29,1
Bangalore,PN-6977,Aluminum Sheet,London,16,220,29.04,799,0.28,0,23200.55,1
Mumbai,PN-8895,Fasteners,Chennai,24,478,4.9,478,1.0,1,2344.43,1
Mumbai,PN-9934,Steel Plate,Delhi,22,843,65.21,930,0.91,0,60640.82,1
Delhi,PN-2143,Steel Plate,Shanghai,39,650,59.13,886,0.73,0,52388.71,1
Mumbai,PN-5858,Copper Wire,Pune,30,535,14.71,850,0.63,0,12506.87,1
Chennai,PN-4152,Plastic Resins,London,32,171,10.89,438,0.39,0,4770.28,1
Chennai,PN-9346,Steel Plate,New York,34,147,64.8,451,0.33,0,29225.22,1
Pune,PN-4554,Fasteners,Chennai,21,740,6.95,740,1.0,1,5141.43,1
Mumbai,PN-7699,Aluminum Sheet,London,28,309,44.62,309,1.0,1,13786.16,1
Mumbai,PN-8284,Steel Plate,Bangalore,24,781,46.02,781,1.0,1,35939.09,1
Bangalore,PN-3815,Steel Plate,Shanghai,33,372,83.53,436,0.85,0,36420.07,1
Chennai,PN-7376,Copper Wire,Shanghai,21,151,21.63,151,1.0,1,3266.23,1
Delhi,PN-3051,Copper Wire,New York,31,388,19.67,541,0.72,0,10640.81,1
Delhi,PN-1321,Steel Plate,Chennai,16,241,66.9,367,0.66,0,24553.39,1
Pune,PN-1546,Electronic Components,Mumbai,30,997,130.78,997,1.0,1,130389.09,1
Delhi,PN-7135,Electronic Components,Shanghai,33,332,163.21,332,1.0,1,54187.09,1
Bangalore,PN-1776,Copper Wire,Berlin,27,274,22.82,952,0.29,0,21727.4,1
Pune,PN-6205,Copper Wire,New York,27,292,22.8,408,0.72,0,9304.23,1
Chennai,PN-8653,Steel Plate,Berlin,44,850,68.72,887,0.96,0,60953.22,1
Delhi,PN-1815,Aluminum Sheet,Chennai,24,104,33.64,142,0.73,0,4777.59,1
Delhi,PN-1038,Aluminum Sheet,Chennai,15,78,36.86,951,0.08,0,35050.69,1
Pune,PN-4804,Fasteners,Delhi,8,195,4.75,547,0.36,0,2600.65,1
Pune,PN-9157,Copper Wire,Berlin,15,225,22.99,225,1.0,1,5173.15,1
Bangalore,PN-1593,Fasteners,London,36,984,5.98,984,1.0,1,5883.22,1
Pune,PN-7627,Aluminum Sheet,London,45,165,39.89,165,1.0,1,6581.24,1
Chennai,PN-2368,Copper Wire,Delhi,12,525,16.3,801,0.66,0,13055.23,1
Delhi,PN-9464,Electronic Components,Shanghai,34,296,128.51,296,1.0,1,38039.36,1
Bangalore,PN-8098,Fasteners,Berlin,42,941,7.93,941,1.0,1,7457.82,1
Delhi,PN-1870,Electronic Components,Delhi,13,722,93.3,722,1.0,1,67360.14,1
Mumbai,PN-8322,Steel Plate,Shanghai,25,90,54.78,839,0.11,0,45964.18,1
Chennai,PN-4709,Copper Wire,New York,48,713,20.77,713,1.0,1,14809.02,1
Delhi,PN-1928,Fasteners,Shanghai,28,683,7.04,683,1.0,1,4805.7,1
Pune,PN-7591,Fasteners,Mumbai,6,701,4.15,701,1.0,1,2906.61,1
Chennai,PN-1307,Aluminum Sheet,Chennai,12,245,29.86,245,1.0,1,7315.51,1
Bangalore,PN-8966,Aluminum Sheet,Bangalore,18,797,30.12,797,1.0,1,24003.01,1
Chennai,PN-4056,Plastic Resins,Bangalore,14,324,8.99,324,1.0,1,2913.54,1
Delhi,PN-9098,Electronic Components,Chennai,6,258,125.13,517,0.5,0,64691.77,1
Pune,PN-2919,Copper Wire,Mumbai,12,606,14.74,606,1.0,1,8932.79,1
Chennai,PN-6042,Steel Plate,New York,18,333,60.32,333,1.0,1,20087.2,1
Delhi,PN-1498,Aluminum Sheet,Mumbai,19,122,31.51,427,0.29,0,13456.07,1
Bangalore,PN-1105,Aluminum Sheet,Delhi,12,100,31.31,425,0.24,0,13305.92,1
Delhi,PN-9493,Fasteners,Mumbai,13,232,5.55,600,0.39,0,3328.07,1
Chennai,PN-7624,Plastic Resins,Pune,24,569,12.74,569,1.0,1,7249.27,1
Bangalore,PN-7600,Electronic Components,Delhi,19,837,126.94,932,0.9,0,118304.51,1
Bangalore,PN-1552,Aluminum Sheet,Pune,18,633,32.36,633,1.0,1,20482.59,1
Chennai,PN-9909,Aluminum Sheet,New York,39,883,33.67,883,1.0,1,29727.76,1
Mumbai,PN-6646,Copper Wire,Chennai,30,635,15.14,635,1.0,1,9614.88,1
Delhi,PN-6768,Steel Plate,New York,28,318,61.97,363,0.88,0,22495.12,1
Bangalore,PN-5832,Fasteners,Berlin,45,594,7.69,594,1.0,1,4567.29,1
Bangalore,PN-9464,Steel Plate,Bangalore,27,91,53.17,101,0.9,0,5369.79,1
Bangalore,PN-7270,Copper Wire,Pune,28,231,15.67,256,0.9,0,4012.06,1
Delhi,PN-5258,Plastic Resins,Pune,14,359,9.27,359,1.0,1,3329.72,1
Chennai,PN-4432,Plastic Resins,Berlin,31,559,12.7,712,0.79,0,9042.64,1
Pune,PN-8615,Plastic Resins,Delhi,29,758,9.07,758,1.0,1,6871.87,1
Mumbai,PN-8036,Copper Wire,Delhi,10,374,16.47,399,0.94,0,6572.01,1
Delhi,PN-5559,Fasteners,Bangalore,29,91,6.98,163,0.56,0,1137.51,1
Chennai,PN-3540,Aluminum Sheet,Berlin,42,350,30.21,956,0.37,0,28878.47,1
Pune,PN-6018,Electronic Components,New York,18,150,144.11,519,0.29,0,74794.67,1
Pune,PN-6995,Steel Plate,Chennai,26,463,53.08,463,1.0,1,24577.83,1
Mumbai,PN-2426,Aluminum Sheet,Mumbai,14,127,36.49,439,0.29,0,16018.29,1
Chennai,PN-1545,Steel Plate,Mumbai,6,374,46.89,756,0.49,0,35452.32,1
Pune,PN-8263,Aluminum Sheet,Berlin,19,220,32.3,220,1.0,1,7105.42,1
Delhi,PN-3535,Plastic Resins,Shanghai,44,268,16.51,268,1.0,1,4423.44,1
Chennai,PN-3010,Plastic Resins,Shanghai,14,549,9.79,549,1.0,1,5372.55,1
Pune,PN-1698,Aluminum Sheet,Mumbai,13,873,33.76,873,1.0,1,29471.49,1
Mumbai,PN-3292,Plastic Resins,Shanghai,37,144,9.78,165,0.87,0,1613.61,1
Chennai,PN-4955,Fasteners,Pune,11,542,5.18,542,1.0,1,2806.93,1
Chennai,PN-2419,Copper Wire,Delhi,12,327,15.14,798,0.41,0,12082.08,1
Pune,PN-6585,Plastic Resins,Berlin,44,988,14.16,988,1.0,1,13988.4,1
Chennai,PN-3573,Plastic Resins,Delhi,14,169,9.39,661,0.26,0,6208.92,1
Chennai,PN-6714,Steel Plate,Chennai,24,113,45.98,254,0.44,0,11678.47,1
Mumbai,PN-9819,Aluminum Sheet,Mumbai,12,93,41.87,410,0.23,0,17166.86,1
Delhi,PN-4422,Aluminum Sheet,London,24,118,39.46,248,0.48,0,9787.26,1
Bangalore,PN-5998,Copper Wire,London,19,573,22.92,575,1.0,0,13176.91,1
Bangalore,PN-6479,Electronic Components,Mumbai,24,200,128.11,200,1.0,1,25621.41,1
Delhi,PN-1367,Aluminum Sheet,Bangalore,14,518,24.38,518,1.0,1,12628.2,1
Mumbai,PN-1989,Steel Plate,Delhi,24,409,67.54,409,1.0,1,27622.45,1
Delhi,PN-3558,Steel Plate,Delhi,6,91,65.52,202,0.45,0,13235.65,1
Pune,PN-7340,Electronic Components,Pune,14,933,104.84,933,1.0,1,97819.29,1
Mumbai,PN-4772,Plastic Resins,Bangalore,3,124,11.86,124,1.0,1,1470.97,1
Mumbai,PN-1049,Electronic Components,Bangalore,23,70,101.81,917,0.08,0,93363.16,1
Pune,PN-8977,Plastic Resins,London,24,489,13.75,678,0.72,0,9325.74,1
Bangalore,PN-4732,Fasteners,Bangalore,24,601,4.67,601,1.0,1,2804.52,1
Mumbai,PN-4060,Aluminum Sheet,Mumbai,12,74,38.84,133,0.56,0,5165.63,1
Bangalore,PN-6744,Fasteners,Bangalore,28,429,4.76,869,0.49,0,4136.03,1
Mumbai,PN-7074,Plastic Resins,Berlin,14,283,13.02,808,0.35,0,10522.14,1
Chennai,PN-5361,Electronic Components,Shanghai,27,72,141.84,532,0.14,0,75458.01,1
Mumbai,PN-2754,Copper Wire,Shanghai,43,512,22.78,512,1.0,1,11665.58,1
Chennai,PN-7318,Plastic Resins,London,29,108,15.73,966,0.11,0,15196.84,1
Pune,PN-6502,Steel Plate,Delhi,28,366,67.08,989,0.37,0,66338.54,1
Pune,PN-9725,Plastic Resins,Delhi,19,81,8.43,119,0.68,0,1003.11,1
Pune,PN-4565,Aluminum Sheet,New York,37,789,36.68,789,1.0,1,28939.94,1
Delhi,PN-9122,Steel Plate,Mumbai,19,574,47.56,574,1.0,1,27300.61,1
Chennai,PN-9231,Steel Plate,Shanghai,45,287,76.68,364,0.79,0,27911.47,1
Mumbai,PN-6366,Plastic Resins,Mumbai,10,242,12.38,399,0.61,0,4940.89,1
Mumbai,PN-4246,Steel Plate,Berlin,33,255,53.2,445,0.57,0,23673.89,1
Chennai,PN-6226,Plastic Resins,Berlin,42,409,16.46,691,0.59,0,11376.34,1
Bangalore,PN-5673,Electronic Components,Pune,25,87,86.01,127,0.69,0,10923.07,1
Pune,PN-3917,Electronic Components,Mumbai,15,119,86.4,154,0.77,0,13305.02,1
Pune,PN-2395,Plastic Resins,Pune,15,334,10.45,465,0.72,0,4859.75,1
Pune,PN-4333,Steel Plate,Mumbai,3,394,62.72,857,0.46,0,53749.09,1
Pune,PN-3368,Plastic Resins,Pune,21,549,9.87,549,1.0,1,5415.99,1
Delhi,PN-9941,Copper Wire,Berlin,34,940,20.05,940,1.0,1,18849.22,1
Pune,PN-1533,Plastic Resins,Chennai,22,465,10.25,751,0.62,0,7694.82,1
Mumbai,PN-7096,Electronic Components,Shanghai,20,77,110.55,925,0.08,0,102257.17,1
Mumbai,PN-2268,Copper Wire,Chennai,7,160,16.82,160,1.0,1,2690.83,1
Delhi,PN-5582,Copper Wire,Pune,20,641,14.95,708,0.91,0,10584.31,1
Delhi,PN-4392,Steel Plate,London,42,513,56.19,692,0.74,0,38881.36,1
Bangalore,PN-3367,Aluminum Sheet,Berlin,35,299,39.98,649,0.46,0,25944.99,1
Mumbai,PN-4907,Steel Plate,London,48,701,57.85,781,0.9,0,45184.59,1
Delhi,PN-1570,Electronic Components,Bangalore,23,583,112.4,604,0.97,0,67892.06,1
Mumbai,PN-7483,Copper Wire,Mumbai,16,237,17.46,237,1.0,1,4137.14,1
Mumbai,PN-6992,Aluminum Sheet,Chennai,7,147,32.4,175,0.84,0,5670.59,1
Chennai,PN-7510,Aluminum Sheet,London,37,122,46.57,416,0.29,0,19373.54,1
Bangalore,PN-2428,Fasteners,Chennai,7,172,4.63,448,0.38,0,2073.71,1
Bangalore,PN-8039,Aluminum Sheet,London,26,841,43.79,841,1.0,1,36823.95,1
Mumbai,PN-9958,Steel Plate,Shanghai,40,204,59.0,344,0.59,0,20295.55,1
Bangalore,PN-8508,Steel Plate,Chennai,7,448,43.7,484,0.93,0,21148.66,1
Chennai,PN-2699,Plastic Resins,Bangalore,30,702,12.31,702,1.0,1,8643.39,1
Chennai,PN-1646,Aluminum Sheet,Delhi,20,347,36.85,347,1.0,1,12786.92,1
Chennai,PN-8402,Electronic Components,Shanghai,27,274,107.0,274,1.0,1,29319.32,1
Mumbai,PN-5866,Copper Wire,Shanghai,33,845,25.2,845,1.0,1,21290.97,1
Mumbai,PN-5951,Fasteners,Shanghai,33,271,6.82,362,0.75,0,2467.96,1
Pune,PN-6576,Copper Wire,London,42,760,20.65,793,0.96,0,16376.6,1
Chennai,PN-5960,Electronic Components,Shanghai,40,236,156.52,236,1.0,1,36939.1,1
Chennai,PN-3660,Electronic Components,Pune,18,842,106.62,842,1.0,1,89775.6,1
Delhi,PN-9785,Electronic Components,Pune,11,890,101.79,890,1.0,1,90593.29,1
Delhi,PN-5386,Copper Wire,Berlin,34,80,20.74,202,0.4,0,4190.25,1
Pune,PN-9111,Aluminum Sheet,Pune,3,529,31.64,922,0.57,0,29174.83,1
Pune,PN-8880,Fasteners,Pune,23,666,5.55,666,1.0,1,3694.69,1
Chennai,PN-2685,Electronic Components,Mumbai,8,147,94.84,147,1.0,1,13941.88,1
Mumbai,PN-1161,Electronic Components,New York,17,202,144.81,757,0.27,0,109623.06,1
Bangalore,PN-7971,Aluminum Sheet,London,30,790,35.83,795,0.99,0,28486.96,1
Mumbai,PN-6295,Plastic Resins,Shanghai,41,303,11.01,389,0.78,0,4284.64,1
Mumbai,PN-5313,Aluminum Sheet,Mumbai,18,654,27.0,654,1.0,1,17658.36,1
Mumbai,PN-4559,Steel Plate,Pune,6,990,50.85,990,1.0,1,50342.87,1
Chennai,PN-1200,Aluminum Sheet,Berlin,30,69,39.09,298,0.23,0,11649.99,1
Mumbai,PN-2664,Copper Wire,Delhi,10,255,15.09,923,0.28,0,13924.16,1
Pune,PN-6339,Plastic Resins,Berlin,29,714,13.8,714,1.0,1,9855.97,1
Pune,PN-1836,Electronic Components,New York,25,908,116.34,908,1.0,1,105637.66,1
Delhi,PN-2318,Steel Plate,New York,44,504,53.8,548,0.92,0,29484.41,1
Mumbai,PN-9250,Electronic Components,Chennai,3,968,119.12,968,1.0,1,115307.96,1
Delhi,PN-7987,Aluminum Sheet,Delhi,9,196,37.7,996,0.2,0,37545.06,1
Chennai,PN-6593,Plastic Resins,Bangalore,18,138,12.25,612,0.23,0,7496.89,1
Pune,PN-1125,Steel Plate,Shanghai,32,915,50.65,915,1.0,1,46343.9,1
Chennai,PN-3401,Electronic Components,Bangalore,20,893,85.15,893,1.0,1,76036.9,1
Delhi,PN-6965,Aluminum Sheet,Mumbai,13,293,33.38,394,0.74,0,13150.44,1
Pune,PN-2175,Fasteners,Chennai,27,628,5.02,937,0.67,0,4707.78,1
Chennai,PN-6972,Electronic Components,Chennai,9,331,116.28,437,0.76,0,50813.36,1
Pune,PN-2192,Copper Wire,New York,39,111,17.5,212,0.52,0,3710.87,1
Chennai,PN-5603,Plastic Resins,Pune,11,119,10.33,223,0.53,0,2304.45,1
Pune,PN-1260,Fasteners,Berlin,21,150,5.21,820,0.18,0,4271.18,1
Pune,PN-8393,Electronic Components,Shanghai,32,479,130.15,479,1.0,1,62343.02,1
Bangalore,PN-7930,Copper Wire,Delhi,22,357,17.02,501,0.71,0,8525.43,1
Pune,PN-8936,Aluminum Sheet,Berlin,20,206,42.59,493,0.42,0,20998.81,1
Mumbai,PN-9118,Copper Wire,Mumbai,4,52,16.17,237,0.22,0,3832.74,1
Chennai,PN-2787,Steel Plate,Bangalore,5,712,41.57,712,1.0,1,29599.42,1
Mumbai,PN-9328,Plastic Resins,Chennai,7,343,11.88,343,1.0,1,4073.6,1
Delhi,PN-8407,Plastic Resins,Pune,25,952,11.27,952,1.0,1,10729.72,1
Mumbai,PN-8650,Plastic Resins,Mumbai,8,338,8.02,338,1.0,1,2709.33,1
Pune,PN-5833,Plastic Resins,Chennai,12,257,13.52,627,0.41,0,8477.36,1
Mumbai,PN-4648,Fasteners,Mumbai,6,245,4.5,691,0.35,0,3111.94,1
Pune,PN-4131,Plastic Resins,Bangalore,9,153,10.56,764,0.2,0,8064.27,1
Pune,PN-4428,Plastic Resins,New York,23,377,13.75,517,0.73,0,7110.02,1
Bangalore,PN-7200,Fasteners,Mumbai,9,576,4.47,586,0.98,0,2617.52,1
Pune,PN-1638,Fasteners,Pune,14,763,6.72,763,1.0,1,5126.36,1
Bangalore,PN-8067,Steel Plate,Mumbai,7,90,43.32,148,0.61,0,6411.73,1
Chennai,PN-3462,Aluminum Sheet,Chennai,26,461,26.93,461,1.0,1,12414.05,1
Delhi,PN-4199,Electronic Components,London,44,53,112.85,122,0.43,0,13768.05,1
Delhi,PN-4803,Steel Plate,Delhi,14,180,43.33,180,1.0,1,7800.27,1
Chennai,PN-3408,Steel Plate,Pune,4,87,65.12,176,0.49,0,11461.11,1
Pune,PN-2885,Aluminum Sheet,Chennai,15,951,29.95,951,1.0,1,28479.94,1
Mumbai,PN-7618,Copper Wire,Mumbai,28,128,16.59,128,1.0,1,2123.75,1
Delhi,PN-4149,Steel Plate,Shanghai,32,348,66.29,348,1.0,1,23069.91,1
Pune,PN-2115,Steel Plate,London,47,439,81.17,553,0.79,0,44888.49,1
Bangalore,PN-3179,Fasteners,Berlin,32,230,5.24,633,0.36,0,3314.46,1
Bangalore,PN-9064,Steel Plate,Delhi,19,458,45.06,458,1.0,1,20637.86,1
Delhi,PN-5070,Electronic Components,Mumbai,4,99,96.45,743,0.13,0,71660.5,1
Delhi,PN-6838,Plastic Resins,Bangalore,8,688,11.99,688,1.0,1,8251.04,1
Chennai,PN-1865,Aluminum Sheet,Delhi,21,81,33.49,132,0.61,0,4421.3,1
Delhi,PN-2439,Plastic Resins,Shanghai,33,140,16.79,359,0.39,0,6026.43,1
Delhi,PN-2789,Plastic Resins,Delhi,22,487,13.58,583,0.84,0,7916.08,1
Bangalore,PN-5895,Steel Plate,Shanghai,26,52,73.61,121,0.43,0,8906.63,1
Mumbai,PN-5160,Copper Wire,Bangalore,20,348,20.66,348,1.0,1,7190.33,1
Pune,PN-7556,Steel Plate,Pune,8,174,41.87,558,0.31,0,23362.76,1
Pune,PN-1124,Plastic Resins,Delhi,11,584,9.67,584,1.0,1,5648.78,1
Bangalore,PN-7399,Plastic Resins,New York,38,293,14.77,293,1.0,1,4327.51,1
Delhi,PN-8534,Aluminum Sheet,Shanghai,15,695,35.24,695,1.0,1,24493.02,1
Mumbai,PN-1260,Copper Wire,New York,28,937,24.45,937,1.0,1,22909.3,1
Bangalore,PN-4210,Steel Plate,Delhi,19,208,50.0,477,0.44,0,23850.83,1
Chennai,PN-1822,Electronic Components,Mumbai,18,278,95.13,344,0.81,0,32725.57,1
Delhi,PN-5279,Aluminum Sheet,Mumbai,19,893,29.28,893,1.0,1,26148.66,1
Mumbai,PN-5830,Aluminum Sheet,Delhi,24,983,38.08,983,1.0,1,37428.56,1
Chennai,PN-3391,Aluminum Sheet,Berlin,33,664,31.8,664,1.0,1,21115.72,1
Pune,PN-5339,Copper Wire,Delhi,22,769,13.09,769,1.0,1,10065.32,1
Delhi,PN-6176,Aluminum Sheet,Delhi,22,285,35.62,285,1.0,1,10150.7,1
Pune,PN-3465,Steel Plate,Mumbai,21,695,57.3,695,1.0,1,39820.15,1
Pune,PN-1723,Plastic Resins,Berlin,29,435,15.07,435,1.0,1,6555.39,1
Mumbai,PN-2212,Copper Wire,London,22,424,22.91,487,0.87,0,11158.87,1
Delhi,PN-5456,Electronic Components,Bangalore,26,63,101.75,527,0.12,0,53624.34,1
Pune,PN-5402,Fasteners,London,34,421,5.33,521,0.81,0,2778.29,1
Bangalore,PN-6179,Aluminum Sheet,Berlin,20,761,45.88,796,0.96,0,36523.73,1
Delhi,PN-4979,Fasteners,Delhi,22,629,6.99,629,1.0,1,4399.48,1
Delhi,PN-1296,Aluminum Sheet,Berlin,24,722,48.24,973,0.74,0,46934.76,1
Pune,PN-2252,Steel Plate,Pune,17,991,59.35,991,1.0,1,58812.34,1
Delhi,PN-1253,Fasteners,Pune,10,323,6.37,323,1.0,1,2056.57,1
Delhi,PN-3707,Copper Wire,Bangalore,17,113,12.32,252,0.45,0,3105.3,1
Mumbai,PN-2388,Plastic Resins,Berlin,43,101,10.82,244,0.41,0,2639.67,1
Mumbai,PN-6931,Copper Wire,Bangalore,21,111,18.24,111,1.0,1,2024.63,1
Mumbai,PN-6912,Fasteners,Berlin,16,578,8.1,688,0.84,0,5576.02,1
Delhi,PN-2686,Copper Wire,London,22,366,16.18,366,1.0,1,5920.57,1
Chennai,PN-2837,Fasteners,Berlin,33,698,6.15,698,1.0,1,4289.58,1
Mumbai,PN-8381,Copper Wire,Mumbai,11,256,17.99,728,0.35,0,13096.24,1
Delhi,PN-3099,Steel Plate,Chennai,10,274,54.15,274,1.0,1,14838.03,1
Mumbai,PN-5671,Steel Plate,New York,23,143,65.43,143,1.0,1,9356.31,1
Bangalore,PN-6782,Steel Plate,London,25,652,65.92,652,1.0,1,42980.02,1
Bangalore,PN-2142,Copper Wire,London,33,602,20.6,699,0.86,0,14397.0,1
Mumbai,PN-3303,Copper Wire,New York,42,550,17.37,755,0.73,0,13117.12,1
Delhi,PN-7282,Fasteners,Mumbai,9,111,5.3,111,1.0,1,588.74,1
Pune,PN-2635,Electronic Components,Berlin,24,71,125.98,165,0.43,0,20786.34,1
Chennai,PN-2560,Copper Wire,Chennai,21,168,12.7,168,1.0,1,2133.86,1
Chennai,PN-1145,Plastic Resins,Mumbai,6,853,13.58,853,1.0,1,11587.9,1
Pune,PN-8287,Steel Plate,Mumbai,13,459,41.4,459,1.0,1,19004.79,1
Pune,PN-5631,Electronic Components,Bangalore,8,878,124.21,878,1.0,1,109053.78,1
Bangalore,PN-7575,Electronic Components,Pune,5,631,98.98,631,1.0,1,62456.3,1
Bangalore,PN-2215,Electronic Components,Shanghai,40,100,138.06,788,0.13,0,108789.1,1
Chennai,PN-1231,Copper Wire,London,33,747,23.55,747,1.0,1,17592.64,1
